UniProt	SHAP	GeneSymbol	Category
Q9Y2J4	0.007798823605747	AMOTL2	Other
Q9H2K0	0.0073266233883439	MTIF3	Other
Q5TEC6	0.0072202356094838	H3-7	Other
Q13151	0.0071968668435709	HNRNPA0	Other
Q9BWG6	0.0069817423423464	TNFAIP8L2-SCNM1	Other
Q14204	0.0069172565825692	DYNC1H1	Immune/Virus
Q5TCX8	0.0062140910545101	MAP3K21	Other
Q96BQ5	0.0061774728474099	CCDC127	Other
Q12837	0.0060825262360504	POU4F2	Other
Q9Y605	0.0060622279515384	MRFAP1	Other
P32242	0.0060568609545479	OTX1	Other
Q96EP5	0.0057501888976529	DAZAP1	Other
Q96S53	0.0057289212971764	TESK2	Other
Q9P2G9	0.0056416238195768	KLHL8	Other
Q9BYD3	0.005429054157806	MRPL4	Other
O15127	0.0054077246096992	SCAMP2	Other
Q7Z2W4	0.005329197531037	ZC3HAV1	Other
P33151	0.0053148910653501	CDH5	Other
O15524	0.0052740557474234	SOCS1	Immune/Virus
Q99848	0.0049328000522266	EBNA1BP2	Other
Q93074	0.004886757925708	MED12	Other
P60228	0.0048638925493316	EIF3E	Other
Q9UM73	0.0046788756422672	ALK	Other
Q14254	0.0046155118094443	FLOT2	Other
Q8TED0	0.0045067404045936	UTP15	Other
Q15008	0.0044758033196595	PSMD6	Immune/Virus
Q9HBM6	0.0044073702576974	TAF9B	Other
O15534	0.004330832608123	PER1	Other
Q15061	0.0042418047277041	WDR43	Other
O43678	0.0041779221760486	NDUFA2	Other
O60496	0.0041633977706168	DOK2	Other
Q02878	0.0041602934252046	RPL6	Other
O14519	0.0041283777454831	CDK2AP1	Other
O75521	0.0040559488223124	ECI2	Other
O15151	0.0039673051250656	MDM4	Other
P17655	0.0039525314648801	CAPN2	Other
Q32NC0	0.003828567918962	RMP24	Other
Q9BTT4	0.0037413593386682	MED10	Other
Q9Y3A5	0.0036951765323381	SBDS	Other
Q9NYV4	0.0036366268824196	CDK12	Other
Q9UFB7	0.0036253348040345	ZBTB47	Other
Q9BU76	0.0036018602905646	C1orf35	Other
Q9BTM1	0.0036014347998925	H2AJ	Other
Q9Y4B6	0.0035843549969371	DCAF1	Other
Q15633	0.0035728666245959	TARBP2	Immune/Virus
Q02930	0.0035060436172351	CREB5	Other
Q9UHB9	0.0034582747180267	SRP68	Other
P38606	0.0034560918301329	ATP6V1A	Other
Q08043	0.0034471109985126	ACTN3	Other
P42858	0.0034275839911373	HTT	Other
P55081	0.0034203353586665	MFAP1	Other
P07996	0.0034178511011233	THBS1	Immune/Virus
P43115	0.003346316200061	PTGER3	Other
P18859	0.0032674082664052	ATP5PF	Other
P06756	0.0031973650758468	ITGAV	Immune/Virus
Q9BZ76	0.0031671152626695	CNTNAP3	Other
Q15165	0.0031456093931912	PON2	Other
O15155	0.0030893588725573	BET1	Other
Q9Y4Z0	0.0030473808915679	LSM4	Other
P29972	0.0030097164914297	AQP1	Other
Q08117	0.0030068011759094	TLE5	Other
O43482	0.0029913270687451	OIP5	Other
P04156	0.0029752723965269	PRNP	Immune/Virus
Q9NVH1	0.0029591815753933	DNAJC11	Other
Q6ZW31	0.0029384584851581	SYDE1	Other
Q9Y5S9	0.0029316256710123	RBM8A	Other
Q9NPF5	0.0029080815258211	DMAP1	Other
O00487	0.0028943402464943	PSMD14	Immune/Virus
P52435	0.0028805833723174	POLR2J	Other
Q16629	0.0028542045941789	SRSF7	Other
Q8NI38	0.0028083969592388	NFKBID	Immune/Virus
Q96LR2	0.0027860330242057	LURAP1	Other
P35226	0.0027845754002145	BMI1	Other
P12235	0.0027405198200041	SLC25A4	Other
P38117	0.0026785057722834	ETFB	Other
P19387	0.0026459683084229	POLR2C	Other
Q9BUN8	0.002623778216203	DERL1	Other
Q13895	0.0026064693148336	BYSL	Other
Q5QNW6	0.0025965337456678	H2BC18	Other
P22735	0.0025737115781885	TGM1	Other
O15226	0.002491968863224	NKRF	Other
Q92567	0.0024908436777373	FAM168A	Other
Q9BUF5	0.0024176936360729	TUBB6	Other
Q9Y3Z3	0.0023581995207799	SAMHD1	Immune/Virus
Q96MT8	0.0023071027333082	CEP63	Other
Q96ED9	0.0022967541959204	HOOK2	Other
Q8N5Z5	0.0022541431490183	KCTD17	Other
Q66GS9	0.0022347037678827	CEP135	Other
P63252	0.0021819845725707	KCNJ2	Other
P50613	0.0021743931476312	CDK7	Other
P23246	0.0021630601302085	SFPQ	Other
P49459	0.0021570668480005	UBE2A	Other
P60468	0.0021552025248395	SEC61B	Other
Q05209	0.0021488293903144	PTPN12	Other
P26038	0.0021219758061118	MSN	Other
P37231	0.0021161467053058	PPARG	Immune/Virus
Q12929	0.0021123829667414	EPS8	Other
Q9UN86	0.0021001546311558	G3BP2	Other
Q9NQ55	0.0020827344300569	PPAN-P2RY11	Other
Q92844	0.0020821471925271	TANK	Other
P09234	0.0020747408313397	SNRPC	Other
Q0VD86	0.0020245449396785	INCA1	Other
Q4G0J3	0.0020086322681362	LARP7	Other
Q8TBB1	0.0019949429006548	LNX1	Other
P16615	0.0019599045522624	ATP2A2	Other
P24534	0.0019284854387973	EEF1B2	Other
P27449	0.0019252528684216	ATP6V0C	Immune/Virus
Q7L5N1	0.0019207033494465	COPS6	Other
P40855	0.0018762881486271	PEX19	Other
P49760	0.001875141970482	CLK2	Other
P29084	0.0018697338579937	GTF2E2	Other
P29590	0.0018683365910412	PML	Immune/Virus
Q07812	0.0018600247230374	BAX	Immune/Virus
Q9NX58	0.0018567772594243	LYAR	Immune/Virus
Q93008	0.0018474459434977	USP9X	Other
P61604	0.0018458791526239	HSPE1	Other
O60563	0.0018437277426212	CCNT1	Other
Q9NW13	0.0018264762065033	RBM28	Other
P46108	0.001819400288306	CRK	Other
Q15397	0.0017897565177376	PUM3	Other
Q06609	0.0017868960425959	RAD51	Other
Q53G59	0.0017724675197199	KLHL12	Other
Q8TDD1	0.0017695471355215	DDX54	Other
P84103	0.0017681678112284	SRSF3	Other
Q7Z7A1	0.0017478979157853	CNTRL	Other
P29401	0.0017473594975696	TKT	Other
Q6P158	0.0017427768127089	DHX57	Other
O60231	0.001738039148154	DHX16	Other
P49327	0.001737937262525	FASN	Other
Q15628	0.0017327530611592	TRADD	Other
Q6ZW49	0.0017320767652856	PAXIP1	Immune/Virus
P05198	0.0017299773287659	EIF2S1	Other
Q9NZB2	0.0017289388830231	FAM120A	Other
P47929	0.0017207778283269	LGALS7B	Other
Q9ULK4	0.0017186067770317	MED23	Other
Q8N6Y0	0.0017182734091557	USHBP1	Other
Q96NL6	0.0017033508574208	SCLT1	Other
O15014	0.0017015865760631	ZNF609	Other
Q7KZF4	0.0016990157914683	SND1	Other
Q8N5R6	0.0016857921009197	CCDC33	Other
